API_Gravity_60F,Relative_Density_60F,Density_15C_kg_per_m3
45.4,0.7999,799.5
45.5,0.7994,799.1
45.6,0.799,798.6
45.7,0.7985,798.2
45.8,0.7981,797.7
45.9,0.7976,797.3
46.0,0.7972,796.8
46.1,0.7967,796.4
46.2,0.7963,795.9
46.3,0.7958,795.5
46.4,0.7954,795.0
46.5,0.7949,794.6
46.6,0.7945,794.1
46.7,0.7941,793.7
46.8,0.7936,793.2
46.9,0.7932,792.8
47.0,0.7927,792.4
47.1,0.7923,791.9
47.2,0.7918,791.5
47.3,0.7914,791.0
47.4,0.7909,790.6
47.5,0.7905,790.1
47.6,0.7901,789.7
47.7,0.7896,789.3
47.8,0.7892,788.8
47.9,0.7887,788.4
48.0,0.7883,787.9
48.1,0.7879,787.5
48.2,0.7874,787.1
48.3,0.787,786.6
48.4,0.7865,786.2
48.5,0.7861,785.8
48.6,0.7857,785.3
48.7,0.7852,784.9
48.8,0.7848,784.5
48.9,0.7844,784.0
49.0,0.7839,783.6
49.1,0.7835,783.2
49.2,0.7831,782.7
49.3,0.7826,782.3
49.4,0.7822,781.9
49.5,0.7818,781.4
49.6,0.7813,781.0
49.7,0.7809,780.6
49.8,0.7805,780.2
49.9,0.78,779.7
50.0,0.7796,779.3
50.1,0.7792,778.9
50.2,0.7788,778.4
50.3,0.7783,778.0
50.4,0.7779,777.6
50.5,0.7775,777.2
50.6,0.777,776.7
50.7,0.7766,776.3
50.8,0.7762,775.9
50.9,0.7758,775.5
51.0,0.7753,775.1
51.1,0.7749,774.6
51.2,0.7745,774.2
51.3,0.7741,773.8
51.4,0.7736,773.4
51.5,0.7732,772.9
51.6,0.7728,772.5
51.7,0.7724,772.1
51.8,0.772,771.7
51.9,0.7715,771.3
52.0,0.7711,770.8
52.1,0.7707,770.4
52.2,0.7703,770.0
52.3,0.7699,769.6
52.4,0.7694,769.2
52.5,0.769,768.8
52.6,0.7686,768.3
52.7,0.7682,767.9
52.8,0.7678,767.5
52.9,0.7674,767.1
53.0,0.7669,766.7
53.1,0.7665,766.3
53.2,0.7661,765.8
53.3,0.7657,765.4
53.4,0.7653,765.0
53.5,0.7649,764.6
53.6,0.7645,764.2
53.7,0.764,763.8
53.8,0.7636,763.4
53.9,0.7632,763.0
54.0,0.7628,762.5
54.1,0.7624,762.1
54.2,0.762,761.7
54.3,0.7616,761.3
54.4,0.7612,760.9
54.5,0.7608,760.5
54.6,0.7603,760.1
54.7,0.7599,759.7
54.8,0.7595,759.3
54.9,0.7591,758.9
55.0,0.7587,758.5
55.1,0.7583,758.1
55.2,0.7579,757.6
55.3,0.7575,757.2
55.4,0.7571,756.8
55.5,0.7567,756.4
55.6,0.7563,756.0
55.7,0.7559,755.6
55.8,0.7555,755.2
55.9,0.7551,754.8
56.0,0.7547,754.4
56.1,0.7543,754.0
56.2,0.7539,753.6
56.3,0.7535,753.2
56.4,0.7531,752.8
56.5,0.7527,752.4
56.6,0.7523,752.0
56.7,0.7519,751.6
56.8,0.7515,751.2
56.9,0.7511,750.8
57.0,0.7507,750.4
57.1,0.7503,750.0
57.2,0.7499,749.6
57.3,0.7495,749.2
57.4,0.7491,748.8
57.5,0.7487,748.4
57.6,0.7483,748.0
57.7,0.7479,747.6
57.8,0.7475,747.3
57.9,0.7471,746.9
58.0,0.7467,746.5
58.1,0.7463,746.1
58.2,0.7459,745.7
58.3,0.7455,745.3
58.4,0.7451,744.9
58.5,0.7447,744.5
58.6,0.7443,744.1
58.7,0.744,743.7
58.8,0.7436,743.3
58.9,0.7432,742.9
59.0,0.7428,742.6
59.1,0.7424,742.2
59.2,0.742,741.8
59.3,0.7416,741.4
59.4,0.7412,741.0
59.5,0.7408,740.6
59.6,0.7405,740.2
59.7,0.7401,739.8
59.8,0.7397,739.4
59.9,0.7393,739.1
60.0,0.7389,738.7
60.1,0.7385,738.3
60.2,0.7381,737.9
60.3,0.7377,737.5
60.4,0.7374,737.1
60.5,0.737,736.8
60.6,0.7366,736.4
60.7,0.7362,736.0
60.8,0.7358,735.6
60.9,0.7354,735.2
61.0,0.7351,734.8
61.1,0.7347,734.5
61.2,0.7343,734.1
61.3,0.7339,733.7
61.4,0.7335,733.3
61.5,0.7332,732.9
61.6,0.7328,732.6
61.7,0.7324,732.2
61.8,0.732,731.8
61.9,0.7316,731.4
62.0,0.7313,731.1
62.1,0.7309,730.7
62.2,0.7305,730.3
62.3,0.7301,729.9
62.4,0.7298,729.5
62.5,0.7294,729.2
62.6,0.729,728.8
62.7,0.7286,728.4
62.8,0.7283,728.0
62.9,0.7279,727.7
63.0,0.7275,727.3
63.1,0.7271,726.9
63.2,0.7268,726.5
63.3,0.7264,726.2
63.4,0.726,725.8
63.5,0.7256,725.4
63.6,0.7253,725.1
63.7,0.7249,724.7
63.8,0.7245,724.3
63.9,0.7242,723.9
64.0,0.7238,723.6
64.1,0.7234,723.2
64.2,0.723,722.8
64.3,0.7227,722.5
64.4,0.7223,722.1
64.5,0.7219,721.7
64.6,0.7216,721.4
64.7,0.7212,721.0
64.8,0.7208,720.6
64.9,0.7205,720.3
65.0,0.7201,719.9
65.1,0.7197,719.5
65.2,0.7194,719.2
65.3,0.719,718.8
65.4,0.7186,718.4
65.5,0.7183,718.1
65.6,0.7179,717.7
65.7,0.7175,717.3
65.8,0.7172,717.0
65.9,0.7168,716.6
66.0,0.7165,716.3
66.1,0.7161,715.9
66.2,0.7157,715.5
66.3,0.7154,715.2
66.4,0.715,714.8
66.5,0.7146,714.5
66.6,0.7143,714.1
66.7,0.7139,713.7
66.8,0.7136,713.4
66.9,0.7132,713.0
67.0,0.7128,712.7
67.1,0.7125,712.3
67.2,0.7121,711.9
67.3,0.7118,711.6
67.4,0.7114,711.2
67.5,0.7111,710.9
67.6,0.7107,710.5
67.7,0.7103,710.2
67.8,0.71,709.8
67.9,0.7096,709.4
68.0,0.7093,709.1
68.1,0.7089,708.7
68.2,0.7086,708.4
68.3,0.7082,708.0
68.4,0.7079,707.7
68.5,0.7075,707.3
68.6,0.7071,707.0
68.7,0.7068,706.6
68.8,0.7064,706.3
68.9,0.7061,705.9
69.0,0.7057,705.6
69.1,0.7054,705.2
69.2,0.705,704.9
69.3,0.7047,704.5
69.4,0.7043,704.2
69.5,0.704,703.8
69.6,0.7036,703.5
69.7,0.7033,703.1
69.8,0.7029,702.8
69.9,0.7026,702.4
70.0,0.7022,702.1
70.1,0.7019,701.7
70.2,0.7015,701.4
70.3,0.7012,701.0
70.4,0.7008,700.7
70.5,0.7005,700.3
70.6,0.7001,700.0
70.7,0.6998,699.6
70.8,0.6995,699.3
70.9,0.6991,698.9
71.0,0.6988,698.6
71.1,0.6984,698.2
71.2,0.6981,697.9
71.3,0.6977,697.6
71.4,0.6974,697.2
71.5,0.697,696.9
71.6,0.6967,696.5
71.7,0.6964,696.2
71.8,0.696,695.8
71.9,0.6957,695.5
72.0,0.6953,695.2
72.1,0.695,694.8
72.2,0.6946,694.5
72.3,0.6943,694.1
72.4,0.694,693.8
72.5,0.6936,693.5
72.6,0.6933,693.1
72.7,0.6929,692.8
72.8,0.6926,692.4
72.9,0.6923,692.1
73.0,0.6919,691.8
73.1,0.6916,691.4
73.2,0.6913,691.1
73.3,0.6909,690.8
73.4,0.6906,690.4
73.5,0.6902,690.1
73.6,0.6899,689.7
73.7,0.6896,689.4
73.8,0.6892,689.1
73.9,0.6889,688.7
74.0,0.6886,688.4
74.1,0.6882,688.1
74.2,0.6879,687.7
74.3,0.6876,687.4
74.4,0.6872,687.1
74.5,0.6869,686.7
74.6,0.6866,686.4
74.7,0.6862,686.1
74.8,0.6859,685.7
74.9,0.6856,685.4
75.0,0.6852,685.1
75.1,0.6849,684.7
75.2,0.6846,684.4
75.3,0.6842,684.1
75.4,0.6839,683.8
75.5,0.6836,683.4
75.6,0.6832,683.1
75.7,0.6829,682.8
75.8,0.6826,682.4
75.9,0.6823,682.1
76.0,0.6819,681.8
76.1,0.6816,681.5
76.2,0.6813,681.1
76.3,0.6809,680.8
76.4,0.6806,680.5
76.5,0.6803,680.1
76.6,0.68,679.8
76.7,0.6796,679.5
76.8,0.6793,679.2
76.9,0.679,678.8
77.0,0.6787,678.5
77.1,0.6783,678.2
77.2,0.678,677.9
77.3,0.6777,677.5
77.4,0.6774,677.2
77.5,0.677,676.9
77.6,0.6767,676.6
77.7,0.6764,676.2
77.8,0.6761,675.9
77.9,0.6757,675.6
78.0,0.6754,675.3
78.1,0.6751,675.0
78.2,0.6748,674.6
78.3,0.6745,674.3
78.4,0.6741,674.0
78.5,0.6738,673.7
78.6,0.6735,673.4
78.7,0.6732,673.0
78.8,0.6728,672.7
78.9,0.6725,672.4
79.0,0.6722,672.1
79.1,0.6719,671.8
79.2,0.6716,671.4
79.3,0.6713,671.1
79.4,0.6709,670.8
79.5,0.6706,670.5
79.6,0.6703,670.2
79.7,0.67,669.9
79.8,0.6697,669.5
79.9,0.6693,669.2
80.0,0.669,668.9
80.1,0.6687,668.6
80.2,0.6684,668.3
80.3,0.6681,668.0
80.4,0.6678,667.6
80.5,0.6675,667.3
80.6,0.6671,667.0
80.7,0.6668,666.7
80.8,0.6665,666.4
80.9,0.6662,666.1
81.0,0.6659,665.8
81.1,0.6656,665.4
81.2,0.6653,665.1
81.3,0.6649,664.8
81.4,0.6646,664.5
81.5,0.6643,664.2
81.6,0.664,663.9
81.7,0.6637,663.6
81.8,0.6634,663.3
81.9,0.6631,663.0
82.0,0.6628,662.6
82.1,0.6625,662.3
82.2,0.6621,662.0
82.3,0.6618,661.7
82.4,0.6615,661.4
82.5,0.6612,661.1
82.6,0.6609,660.8
82.7,0.6606,660.5
82.8,0.6603,660.2
82.9,0.66,659.9
83.0,0.6597,659.6
83.1,0.6594,659.3
83.2,0.6591,658.9
83.3,0.6588,658.6
83.4,0.6584,658.3
83.5,0.6581,658.0
83.6,0.6578,657.7
83.7,0.6575,657.4
83.8,0.6572,657.1
83.9,0.6569,656.8
84.0,0.6566,656.5
84.1,0.6563,656.2
84.2,0.656,655.9
84.3,0.6557,655.6
84.4,0.6554,655.3
84.5,0.6551,655.0
84.6,0.6548,654.7
84.7,0.6545,654.4
84.8,0.6542,654.1
84.9,0.6539,653.8
85.0,0.6536,653.5
